index,sec,nanosec,frame_id,x,y,z,qx,qy,qz,qw,frame
0,1781022072,79424010,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,000.jpg
1,1781022072,348221452,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,001.jpg
2,1781022073,79392691,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,002.jpg
3,1781022073,348133091,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,003.jpg
4,1781022074,79355956,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,004.jpg
5,1781022074,348024648,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,005.jpg
6,1781022075,79211054,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,006.jpg
7,1781022075,348004579,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,007.jpg
8,1781022076,79228402,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,008.jpg
9,1781022076,348132718,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,009.jpg
10,1781022077,79170875,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,010.jpg
11,1781022077,347979232,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,011.jpg
12,1781022078,79406638,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,012.jpg
13,1781022078,348012122,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,013.jpg
14,1781022079,79377319,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,014.jpg
15,1781022079,347913345,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,015.jpg
16,1781022080,79234292,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,016.jpg
17,1781022080,347916151,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,017.jpg
18,1781022081,79217057,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,018.jpg
19,1781022081,347906082,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,019.jpg
20,1781022082,79118363,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,020.jpg
21,1781022082,347920429,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,021.jpg
22,1781022083,79298960,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,022.jpg
23,1781022083,347980569,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,023.jpg
24,1781022084,79305350,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,024.jpg
25,1781022084,349506661,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,025.jpg
26,1781022085,79250156,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,026.jpg
27,1781022085,348109639,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,027.jpg
28,1781022086,79153504,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,028.jpg
29,1781022086,348516152,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,029.jpg
30,1781022087,79392101,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,030.jpg
31,1781022087,348104459,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,031.jpg
32,1781022088,79253449,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,032.jpg
33,1781022088,348230848,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,033.jpg
34,1781022089,79251755,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,034.jpg
35,1781022089,348119238,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,035.jpg
36,1781022090,79288644,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,036.jpg
37,1781022090,347987544,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,037.jpg
38,1781022091,79205325,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,038.jpg
39,1781022091,348139141,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,039.jpg
40,1781022092,79408589,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,040.jpg
41,1781022092,348004364,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,041.jpg
42,1781022093,80369059,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,042.jpg
43,1781022093,348170753,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,043.jpg
44,1781022094,79210119,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,044.jpg
45,1781022094,348044435,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,045.jpg
46,1781022095,79295133,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,046.jpg
47,1781022095,348055574,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,047.jpg
48,1781022096,79732770,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,048.jpg
49,1781022096,348170421,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,049.jpg
50,1781022097,82074110,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,050.jpg
51,1781022097,348176311,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,051.jpg
52,1781022098,79261509,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,052.jpg
53,1781022098,348044492,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,053.jpg
54,1781022099,79195482,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,054.jpg
55,1781022099,348164048,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,055.jpg
56,1781022100,79412037,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,056.jpg
57,1781022100,347928104,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,057.jpg
58,1781022101,79240427,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,058.jpg
59,1781022101,348015369,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,059.jpg
60,1781022102,79199025,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,060.jpg
61,1781022102,348000841,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,061.jpg
62,1781022103,79309331,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,062.jpg
63,1781022103,350633430,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,063.jpg
64,1781022104,79220470,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,064.jpg
65,1781022104,348400077,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,065.jpg
66,1781022105,79184360,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,066.jpg
67,1781022105,348002301,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,067.jpg
68,1781022106,79336332,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,068.jpg
69,1781022106,347928107,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,069.jpg
70,1781022107,79293722,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,070.jpg
71,1781022107,348220079,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,071.jpg
72,1781022108,79253194,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,072.jpg
73,1781022108,348024011,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,073.jpg
