index,sec,nanosec,frame_id,x,y,z,qx,qy,qz,qw,frame
0,1781025357,570312018,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,000.jpg
1,1781025531,470292985,map,0.01050082056,0.0,0.0,0.0,0.0,0.0,1.0,001.jpg
2,1781025531,820688003,map,0.0210126711,0.0,0.0,0.0,0.0,0.0,1.0,002.jpg
3,1781025532,170358107,map,0.03150277422000001,0.0,0.0,0.0,0.0,0.0,1.0,003.jpg
4,1781025532,520833708,map,0.042017042250000004,0.0,0.0,0.0,0.0,0.0,1.0,004.jpg
5,1781025532,870493936,map,0.05250684909,0.0,0.0,0.0,0.0,0.0,1.0,005.jpg
6,1781025533,220391038,map,0.06300376215,0.0,0.0,0.0,0.0,0.0,1.0,006.jpg
7,1781025533,570296391,map,0.07350092274,0.0,0.0,0.0,0.0,0.0,1.0,007.jpg
8,1781025533,920285743,map,0.08400060329999999,0.0,0.0,0.0,0.0,0.0,1.0,008.jpg
9,1781025534,270401095,map,0.09450406385999999,0.0,0.0,0.0,0.0,0.0,1.0,009.jpg
10,1781025534,620265489,map,0.10499999567999999,0.0,0.0,0.0,0.0,0.0,1.0,010.jpg
11,1781025534,970242092,map,0.11549929376999997,0.0,0.0,0.0,0.0,0.0,1.0,011.jpg
12,1781025535,320315985,map,0.12600151055999995,0.0,0.0,0.0,0.0,0.0,1.0,012.jpg
13,1781025535,670230296,map,0.13649893988999992,0.0,0.0,0.0,0.0,0.0,1.0,013.jpg
14,1781025536,20190107,map,0.1469977342199999,0.0,0.0,0.0,0.0,0.0,1.0,014.jpg
15,1781025536,370302709,map,0.15750111227999988,0.0,0.0,0.0,0.0,0.0,1.0,015.jpg
16,1781025536,720201770,map,0.1679980841099999,0.0,0.0,0.0,0.0,0.0,1.0,016.jpg
